,date,state,permit,handgun,long_gun,multiple
269,2020-10-01,Virgin Islands,71.0,37.0,4.0,0
270,2020-10-01,Virginia,1082.0,37867.0,22986.0,0
271,2020-10-01,Washington,20254.0,26765.0,17191.0,69
272,2020-10-01,West Virginia,3080.0,6934.0,8559.0,419
273,2020-10-01,Wisconsin,23899.0,26028.0,19720.0,52
274,2020-10-01,Wyoming,955.0,2616.0,3207.0,166
275,2020-09-01,Alabama,33228.0,23455.0,17369.0,981
276,2020-09-01,Alaska,388.0,3275.0,3333.0,201
277,2020-09-01,Arizona,8786.0,23996.0,12094.0,1873
278,2020-09-01,Arkansas,3686.0,9214.0,8003.0,383
279,2020-09-01,California,32998.0,61258.0,36638.0,0
280,2020-09-01,Colorado,10309.0,24260.0,15873.0,1721
281,2020-09-01,Connecticut,9845.0,6101.0,2284.0,0
282,2020-09-01,Delaware,470.0,3501.0,1909.0,141
283,2020-09-01,District of Columbia,901.0,531.0,11.0,1
284,2020-09-01,Florida,34496.0,76685.0,29317.0,3174
285,2020-09-01,Georgia,30356.0,24175.0,12797.0,1498
286,2020-09-01,Guam,0.0,150.0,54.0,15
287,2020-09-01,Hawaii,1534.0,0.0,0.0,0
288,2020-09-01,Idaho,6034.0,7297.0,7426.0,382
289,2020-09-01,Illinois,33632.0,27645.0,13848.0,1504
290,2020-09-01,Indiana,1254.0,26530.0,15978.0,916
291,2020-09-01,Iowa,9649.0,227.0,3541.0,2
292,2020-09-01,Kansas,1382.0,7897.0,6489.0,418
293,2020-09-01,Kentucky,2039.0,16006.0,10674.0,671
294,2020-09-01,Louisiana,1677.0,15581.0,12661.0,829
295,2020-09-01,Maine,912.0,4758.0,6249.0,276
296,2020-09-01,Mariana Islands,0.0,14.0,11.0,3
297,2020-09-01,Maryland,11938.0,9575.0,8547.0,2
298,2020-09-01,Massachusetts,14163.0,6889.0,3754.0,286
299,2020-09-01,Michigan,29269.0,32590.0,25496.0,867
300,2020-09-01,Minnesota,28892.0,16169.0,19127.0,713
301,2020-09-01,Mississippi,2947.0,10668.0,8825.0,431
302,2020-09-01,Missouri,4316.0,24614.0,17708.0,1088
303,2020-09-01,Montana,2032.0,4903.0,6148.0,428
304,2020-09-01,Nebraska,6383.0,127.0,2362.0,3
305,2020-09-01,Nevada,2018.0,8773.0,3700.0,444
306,2020-09-01,New Hampshire,1719.0,6974.0,4420.0,0
307,2020-09-01,New Jersey,0.0,12591.0,7274.0,0
308,2020-09-01,New Mexico,1021.0,7960.0,5067.0,338
309,2020-09-01,New York,3389.0,9928.0,25663.0,465
310,2020-09-01,North Carolina,47822.0,2274.0,19325.0,188
311,2020-09-01,North Dakota,676.0,2339.0,3879.0,122
312,2020-09-01,Ohio,19438.0,32432.0,19759.0,1342
313,2020-09-01,Oklahoma,2714.0,14820.0,11176.0,1055
314,2020-09-01,Oregon,5494.0,20804.0,13091.0,6
315,2020-09-01,Pennsylvania,39823.0,68109.0,25277.0,0
316,2020-09-01,Puerto Rico,0.0,2560.0,261.0,38
317,2020-09-01,Rhode Island,0.0,2001.0,1165.0,348
318,2020-09-01,South Carolina,13912.0,14993.0,9264.0,483
319,2020-09-01,South Dakota,858.0,3588.0,4621.0,166
320,2020-09-01,Tennessee,13713.0,31341.0,19732.0,0
321,2020-09-01,Texas,46746.0,68804.0,46463.0,2928
322,2020-09-01,Utah,18425.0,6762.0,5896.0,0
323,2020-09-01,Vermont,0.0,1973.0,2380.0,120
324,2020-09-01,Virgin Islands,51.0,34.0,1.0,1
325,2020-09-01,Virginia,1087.0,31327.0,19565.0,0
326,2020-09-01,Washington,18816.0,26363.0,15035.0,54
327,2020-09-01,West Virginia,3242.0,6635.0,7065.0,367
328,2020-09-01,Wisconsin,21724.0,25970.0,17806.0,46
329,2020-09-01,Wyoming,734.0,2722.0,3247.0,216
330,2020-08-01,Alabama,35838.0,26449.0,16913.0,1075
331,2020-08-01,Alaska,143.0,4088.0,4113.0,254
332,2020-08-01,Arizona,9377.0,25375.0,12472.0,2316
333,2020-08-01,Arkansas,3266.0,9821.0,7421.0,389
334,2020-08-01,California,33056.0,65196.0,38505.0,0
335,2020-08-01,Colorado,11194.0,25765.0,16476.0,1610
336,2020-08-01,Connecticut,7600.0,5952.0,2014.0,0
337,2020-08-01,Delaware,493.0,3402.0,1919.0,111
338,2020-08-01,District of Columbia,936.0,550.0,5.0,1
339,2020-08-01,Florida,35826.0,85345.0,30914.0,3193
340,2020-08-01,Georgia,32131.0,26176.0,12198.0,1821
341,2020-08-01,Guam,0.0,151.0,39.0,9
342,2020-08-01,Hawaii,1622.0,0.0,0.0,0
343,2020-08-01,Idaho,3555.0,7860.0,6811.0,373
344,2020-08-01,Illinois,39261.0,28864.0,13330.0,1458
345,2020-08-01,Indiana,1199.0,28843.0,16235.0,1038
346,2020-08-01,Iowa,8567.0,242.0,3223.0,6
